num_parcelas,estrategia,tiempo_ms
20,Secuencial,26700
20,ExecutorService,8167
20,ForkJoin,7785
20,ParallelStream,7573
20,CompletableFuture,7584
20,IntParallelStream,7935
50,Secuencial,70675
50,ExecutorService,23056
50,ForkJoin,29336
50,ParallelStream,21993
50,CompletableFuture,25218
50,IntParallelStream,25193
100,Secuencial,138390
100,ExecutorService,43921
100,ForkJoin,44263
100,ParallelStream,43420
100,CompletableFuture,51134
100,IntParallelStream,49841
200,Secuencial,251410
200,ExecutorService,94066
200,ForkJoin,99730
200,ParallelStream,90503
200,CompletableFuture,86993
200,IntParallelStream,89150
